                                                                                                                                                                                             
{'loss': 36.7907, 'grad_norm': 0.5026237964630127, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 61.4985, 'grad_norm': 0.5283561944961548, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 24.7956, 'grad_norm': 0.6240628957748413, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 24.8411, 'grad_norm': 0.32702773809432983, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 17.9579, 'grad_norm': 0.22907836735248566, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 29.6383, 'grad_norm': 0.4790898859500885, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 38.4296, 'grad_norm': 0.5375040173530579, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 24.6415, 'grad_norm': 0.16113801300525665, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 11.0408, 'grad_norm': 0.5721496343612671, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 27.6665, 'grad_norm': 0.5144667029380798, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 18.91, 'grad_norm': 0.2638740837574005, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 11.8708, 'grad_norm': 0.5514137148857117, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 29.5115, 'grad_norm': 0.38637223839759827, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 24.2981, 'grad_norm': 0.4814978837966919, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 28.8248, 'grad_norm': 2.185168743133545, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 27.0552, 'grad_norm': 0.4184146225452423, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 28.291, 'grad_norm': 0.40365809202194214, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 30.1346, 'grad_norm': 0.4608857035636902, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 101.1135, 'grad_norm': 0.39145132899284363, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 36.3084, 'grad_norm': 0.49282339215278625, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 20.9577, 'grad_norm': 0.37922003865242004, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 20.1125, 'grad_norm': 0.0, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 12.1508, 'grad_norm': 1.4298433065414429, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 21.8143, 'grad_norm': 0.4763391315937042, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 21.9624, 'grad_norm': 0.3616403341293335, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 26.5598, 'grad_norm': 0.4958769977092743, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 32.3117, 'grad_norm': 0.3522565960884094, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 29.4259, 'grad_norm': 0.45387202501296997, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 16.0574, 'grad_norm': 0.44687455892562866, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 33.9762, 'grad_norm': 0.4364575445652008, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 16.3452, 'grad_norm': 0.2934325635433197, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 23.0931, 'grad_norm': 0.5927009582519531, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 91.18, 'grad_norm': 0.3836306631565094, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 20.3108, 'grad_norm': 0.530556321144104, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 17.187, 'grad_norm': 0.5772146582603455, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 15.6428, 'grad_norm': 0.3469691276550293, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 38.4633, 'grad_norm': 0.4434252977371216, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 18.9377, 'grad_norm': 0.7746334075927734, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 12.3922, 'grad_norm': 0.5299565196037292, 'learning_rate': 2e-05, 'epoch': 0.04}
